Key,English [en-GB],French,German,Spanish
Consoles/GUI_HOTKEY_RETRY,Retry,Réessayer,Erneut versuchen,Reintentar
Consoles/GUI_HOTKEY_RETURN_TO_MAP,Return To Map,Retour à la carte,Zurück zur Karte,Volver al mapa
Consoles/GUI_HOTKEY_RETURN_TO_MENU,Return To Menu,Retour au menu,Zurück zum Menü,Volver al menú
Consoles/GUI_HOTKEY_ROTATE_CAMERA,Rotate,Rotation,Drehen,Rotación
Consoles/GUI_HOTKEY_ROTATE_TARGET,Rotate Target,Rotation de la cible,Ziel drehen,Girar objetivo
Consoles/GUI_HOTKEY_SELECT,Select,Sélectionner,Wählen,Seleccionar
Consoles/GUI_HOTKEY_SELECT_QUEST,Select Quest,,,
Consoles/GUI_HOTKEY_SELL,Sell,Vendre,Verkaufen,Vender
Consoles/GUI_HOTKEY_SHOP_BUY_ITEM,Buy Item,Acheter objet,Gegenstand kaufen,Comprar objeto
Consoles/GUI_HOTKEY_SHOP_CANCEL,Cancel,Annuler,Abbrechen,Cancelar
Consoles/GUI_HOTKEY_SHOP_SELL_ITEM,Sell Item,Vendre objet,Gegenstand verkaufen,Vender objeto
Consoles/GUI_HOTKEY_SHOW_CARDS,Show Card List,Afficher la liste des cartes,Kartenliste anzeigen,Mostrar lista de tarjetas
Consoles/GUI_HOTKEY_STARTING_ABILITY_CARDS,Starting Ability Cards,Cartes de capacité initiales,Startfertigkeitskarten,Cartas de Capacidad de inicio
Consoles/GUI_HOTKEY_STARTING_MERCENARY_INFO,Mercenary Info,Infos mercenaire,Söldnerinfo,Información de mercenarios
Consoles/GUI_HOTKEY_STARTING_PERKS,Starting Perks,Bénéfices de départ,Anfangsverstärkungen,Pericias iniciales
Consoles/GUI_HOTKEY_SWITCH,Switch,Changer,Wechseln,Cambiar
Consoles/GUI_HOTKEY_TIPS,Tips,Astuces,Tipps,Consejos
Consoles/GUI_HOTKEY_UNSELECT,Unselect,Désélectionner,Abwählen,Dejar de seleccionar
Consoles/GUI_HOTKEY_ZOOM_CAMERA,Zoom,Zoom,Zoomen,Acercar/Alejar
Consoles/GUI_IIS_PRESS_ANY_KEY_TO_CONTINUE,Press Any Key to Continue,Appuyer sur une touche pour continuer,"Drücke eine beliebige Taste, um fortzufahren.",Pulsa cualquier tecla para continuar
Consoles/GUI_IIS_PRESS_A_TO_CONTINUE,Press <sprite name=Xbox_A> to Continue,Appuyer sur <sprite name=Xbox_A> pour continuer,"Drücke <sprite name=Xbox_A>, um fortzufahren.",Pulsa <sprite name=Xbox_A> para continuar.
Consoles/GUI_INVENTORY_EQUIPPED_INFO,Equipped,Équipé,Ausgerüstet,Equipado
Consoles/GUI_INVENTORY_EQUIPPED_ITEM,Equipped,Équipé,Ausgerüstet,Equipado
Consoles/GUI_INVENTORY_OWNED_ITEM,Owned,Possédée,Im Besitz,Propiedad
Consoles/GUI_INVENTORY_SLOT_HEADER_ALL,All Items,Tous les articles,Alle Elemente,Todos los artículos
Consoles/GUI_INVENTORY_SLOT_HEADER_BODY,Body Items,Corps,Körper-Gegenstände,Objetos de cuerpo
Consoles/GUI_INVENTORY_SLOT_HEADER_HAND,Hand Items,Mains,Hand-Gegenstände,Objetos de manos
Consoles/GUI_INVENTORY_SLOT_HEADER_HEAD,Head Items,Tête,Kopf-Gegenstände,Objetos de cabeza
Consoles/GUI_INVENTORY_SLOT_HEADER_LEG,Leg Items,Jambes,Bein-Gegenstände,Objetos de pierna
Consoles/GUI_INVENTORY_SLOT_HEADER_OWNED,Inventory,,,
Consoles/GUI_INVENTORY_SLOT_HEADER_SMALL_ITEMS,Small Items,Petits objets,Zubehör,Objetos pequeños
Consoles/GUI_INVITE_USER,Invite,Inviter,Einladen,Invitar
Consoles/GUI_ITEM_CANNOT_BE_SOLD,Can't be sold,,,
Consoles/GUI_ITEM_OUTOFSTOCK,Out Of Stock,Épuisé,Nicht mehr erhältlich,Sin existencias
Consoles/GUI_LOAD,Load,Charger,Belastung,Carga
Consoles/GUI_MAIN_MENU_LEVEL_EDITOR_TOOLTIP,"<color=#F1DBAE>Level Editor</color>
This option is only usable with Mouse/Keyboard input","<color=#F1DBAE>Level Editor</color>
This option is only usable with Mouse/Keyboard input","<color=#F1DBAE>Level Editor</color>
This option is only usable with Mouse/Keyboard input","<color=#F1DBAE>Level Editor</color>
This option is only usable with Mouse/Keyboard input"
Consoles/GUI_MAIN_MENU_MODDING_TOOLTIP,"<color=#F1DBAE>Modding</color>
This option is only usable with Mouse/Keyboard input","<color=#F1DBAE>Modding</color>
This option is only usable with Mouse/Keyboard input","<color=#F1DBAE>Modding</color>
This option is only usable with Mouse/Keyboard input","<color=#F1DBAE>Modding</color>
This option is only usable with Mouse/Keyboard input"
Consoles/GUI_MAIN_MENU_MULTIPLAYER_HOW_TO_HOST_DESCR_CONSOLE,"<size=+4><sprite name=""Pointer""></size><indent=20>While <color=#F1DBAE>in an existing Gloomhaven saved game</color>,  open the Pause menu and select ""Multiplayer"".
</indent>
<size=+4><sprite name=""Pointer""></size><indent=20>This will open the Multiplayer panel, on which you can <color=#F1DBAE>select ""Host Session""</color> to start a Multiplayer session.

</indent>
<size=+4><sprite name=""Pointer""></size><indent=20><color=#F1DBAE>Invite friends</color> from Steam or reach out to them with a generated invite code (you need to invite a minimum of one player to successfully Host a Multiplayer session).

</indent>
<size=+4><sprite name=""Pointer""></size><indent=20>Players will automatically be assigned a <color=#F1DBAE>Character Role</color> as they join the session. As the Host you can edit how players have been assigned by selecting the Character Roles on the Multiplayer panel.

</indent>
<size=+4><sprite name=""Pointer""></size><indent=20>When in Multiplayer, players can join while on the <color=#F1DBAE>World Map or the Card selection phase</color> inside a Scenario.
</indent>","<size=+4><sprite name=""Pointer""></size><indent=20>Après avoir <color=#F1DBAE>chargé une sauvegarde existante de Gloomhaven</color>, pour ouvrir le menu de pause et sélectionnez « Multijoueur ».
</indent>
<size=+4><sprite name=""Pointer""></size><indent=20>Cela ouvrira le panneau Multijoueur, sur lequel vous pourrez <color=#F1DBAE>sélectionner « Héberger une session »</color> pour commencer une partie multijoueur.

</indent>
<size=+4><sprite name=""Pointer""></size><indent=20><color=#F1DBAE>Invitez des amis</color> à partir de Steam ou envoyez-leur un code d'invitation (vous devez inviter au moins un joueur pour héberger une session multijoueur avec succès).

</indent>
<size=+4><sprite name=""Pointer""></size><indent=20>Les joueurs invités se verront automatiquement attribuer un <color=#F1DBAE>rôle de personnage</color> en rejoignant la session. En tant qu'hôte, vous pouvez choisir les mercenaires assignés à chaque joueur en sélectionnant les divers rôles à partir du panneau Multijoueur.

</indent>
<size=+4><sprite name=""Pointer""></size><indent=20>Pendant une session multijoueur, les joueurs peuvent rejoindre la partie sur la <color=#F1DBAE>carte du monde ou durant la phase de sélection des cartes</color> dans un scénario.
</indent>","<size=+4><sprite name=""Pointer""></size><indent=20><color=#F1DBAE>in einem vorhandenen Gloomhaven-Spielstand</color>, um das Pausenmenü zu öffnen und wähle hier ""Mehrspieler"".
</indent>
<size=+4><sprite name=""Pointer""></size><indent=20>Dadurch öffnet sich das Mehrspielerfenster, in dem du <color=#F1DBAE>""Spielpartie hosten"" wählst</color>, um eine Mehrspielerpartie zu starten.

</indent>
<size=+4><sprite name=""Pointer""></size><indent=20><color=#F1DBAE>Lade Freunde ein</color>, indem du die Steam-Oberfläche benutzt oder generierte Einladungscodes verschickst (um eine Mehrspielerpartie zu hosten, musst du mindestens einen Spieler einladen).

</indent>
<size=+4><sprite name=""Pointer""></size><indent=20>Sobald sie an der Partie teilnehmen, wird Spielern automatisch eine <color=#F1DBAE>Charakterrolle</color> zugeteilt. Als Host kannst du die Zuteilung der Spieler bearbeiten, indem du die Charakterrollen im Mehrspielerfenster auswählst.

</indent>
<size=+4><sprite name=""Pointer""></size><indent=20>Spieler können der laufenden Mehrspielerpartie beitreten, so lange <color=#F1DBAE>die Weltkarte oder die Kartenauswahlphase</color> innerhalb des Szenarios aktiv ist.
</indent>","<size=+4><sprite name=""Pointer""></size><indent=20>Mientras estés <color=#F1DBAE>en una partida existente de Gloomhaven</color>, abrir el menú de pausa y selecciona Multijugador.
</indent>
<size=+4><sprite name=""Pointer""></size><indent=20>Esto abrirá el panel del modo Multijugador, donde puedes <color=#F1DBAE>seleccionar Hospedar sesión</color> para comenzar una sesión Multijugador.

</indent>
<size=+4><sprite name=""Pointer""></size><indent=20><color=#F1DBAE>Invita a amigos</color> desde Steam o mándales un código de invitación generado (necesitas invita, como mínimo, a un jugador para poder hospedar correctamente una sesión Multijugador).

</indent>
<size=+4><sprite name=""Pointer""></size><indent=20>Los jugadores serán asignados automáticamente un <color=#F1DBAE>personaje</color> cuando entren a la partida. Como anfitrión puedes editar como los jugadores tienen asignados seleccionando un personaje en el panel del modo Multijugador.

</indent>
<size=+4><sprite name=""Pointer""></size><indent=20>En el modo Multijugador, los jugadores pueden unirse en el <color=#F1DBAE>mapamundi o en la fase de selección de cartas</color> en un escenario.
</indent>"
Consoles/GUI_MAIN_MENU_MULTIPLAYER_HOW_TO_HOST_DESCR_CONTROLLER,"<size=+4><sprite name=""Pointer""></size><indent=20>While <color=#F1DBAE>in an existing Gloomhaven saved game</color>,  open the Pause menu and select ""Multiplayer"".
</indent>
<size=+4><sprite name=""Pointer""></size><indent=20>This will open the Multiplayer panel, on which you can <color=#F1DBAE>select ""Host Session""</color> to start a Multiplayer session.

</indent>
<size=+4><sprite name=""Pointer""></size><indent=20><color=#F1DBAE>Invite friends</color> or reach out to them with a generated invite code (you need to invite a minimum of one player to successfully Host a Multiplayer session).

</indent>
<size=+4><sprite name=""Pointer""></size><indent=20>When in Multiplayer, players can join while on the <color=#F1DBAE>World Map or the Card selection phase</color> inside a Scenario.
</indent>","<size=+4><sprite name=""Pointer""></size><indent=20>Après avoir <color=#F1DBAE>chargé une sauvegarde existante de Gloomhaven</color>, ouvrir le menu de pause et sélectionnez « Multijoueur ».
</indent>
<size=+4><sprite name=""Pointer""></size><indent=20>Cela ouvrira le panneau Multijoueur, sur lequel vous pourrez <color=#F1DBAE>sélectionner « Héberger une session »</color> pour commencer une partie multijoueur.

</indent>
<size=+4><sprite name=""Pointer""></size><indent=20><color=#F1DBAE>Invitez des amis</color> à partir ou envoyez-leur un code d'invitation (vous devez inviter au moins un joueur pour héberger une session multijoueur avec succès).


</indent>
<size=+4><sprite name=""Pointer""></size><indent=20>Pendant une session multijoueur, les joueurs peuvent rejoindre la partie sur la <color=#F1DBAE>carte du monde ou durant la phase de sélection des cartes</color> dans un scénario.
</indent>","In einem vorhandenen Gloomhaven-Spielstand, um das Pausenmenü zu öffnen und wähle hier ""Mehrspieler"".
</indent>
<size=+4><sprite name=""Pointer""></size><indent=20>Dadurch öffnet sich das Mehrspielerfenster, in dem du <color=#F1DBAE>""Spielpartie hosten"" wählst</color>, um eine Mehrspielerpartie zu starten.

</indent>
<size=+4><sprite name=""Pointer""></size><indent=20><color=#F1DBAE>Lade Freunde ein</color>, indem du benutzt oder generierte Einladungscodes verschickst (um eine Mehrspielerpartie zu hosten, musst du mindestens einen Spieler einladen).

</indent>
<size=+4><sprite name=""Pointer""></size><indent=20>Spieler können der laufenden Mehrspielerpartie beitreten, so lange <color=#F1DBAE>die Weltkarte oder die Kartenauswahlphase</color> innerhalb des Szenarios aktiv ist.
</indent>","<size=+4><sprite name=""Pointer""></size><indent=20>Mientras estés <color=#F1DBAE>en una partida existente de Gloomhaven</color>, abrir el menú de pausa y selecciona Multijugador.
</indent>
<size=+4><sprite name=""Pointer""></size><indent=20>Esto abrirá el panel del modo Multijugador, donde puedes <color=#F1DBAE>seleccionar Hospedar sesión</color> para comenzar una sesión Multijugador.

</indent>
<size=+4><sprite name=""Pointer""></size><indent=20><color=#F1DBAE>Invita a amigos</color> o mándales un código de invitación generado (necesitas invita, como mínimo, a un jugador para poder hospedar correctamente una sesión Multijugador).

</indent>
<size=+4><sprite name=""Pointer""></size><indent=20>En el modo Multijugador, los jugadores pueden unirse en el <color=#F1DBAE>mapamundi o en la fase de selección de cartas</color> en un escenario.
</indent>"
Consoles/GUI_MERCHANT_BUY,Buy,Acheter,Kaufen,Comprar
Consoles/GUI_MERCHANT_INVENTORY_TITLE,All Items,Tous les objets,Alle Gegenstände,Todos los objetos
Consoles/GUI_MERCHANT_SELL,Sell,Vendre,Verkaufen,Vender
Consoles/GUI_MP_ALREADY_INVITED,Already Invited,Already Invited,Already Invited,Already Invited
Consoles/GUI_MULTIPLAYER_CONNECTION_CROSSPLAY_DETECTED,Another platform detected,Autre plateforme détectée,Andere Plattform erkannt,Se ha detectado otra plataforma.
Consoles/GUI_MULTIPLAYER_CONNECTION_FAILED_AuthenticationFail,Nintendo Switch Online membership is required,Un abonnement à Nintendo Switch Online est requis,Eine Nintendo Switch Online-Mitgliedschaft ist erforderlich,Se requiere membresía de Nintendo Switch Online
Consoles/GUI_MULTIPLAYER_CONNECTION_FAILED_CrossplayDisabledByClient,Session is hosted with turned on crossplay option. Please check crossplay option turned on in Options - General,La session est hébergée avec l'option crossplay activée. Veuillez vérifier l'option de jeu croisé activée dans Options - Général,Die Sitzung wird mit aktivierter Crossplay-Option gehostet. Bitte überprüfen Sie die aktivierte Crossplay-Option in Optionen - Allgemein,La sesión se aloja con la opción de juego cruzado activada. Verifique la opción de juego cruzado activada en Opciones - General
Consoles/GUI_MULTIPLAYER_CONNECTION_FAILED_CrossplayDisabledByServer,Your platform is not allowed to join this session. Host must have crossplay option turned on in Options - General,Votre plateforme n'est pas autorisée à rejoindre cette session. L'hôte doit avoir l'option de jeu croisé activée dans Options - Général,Ihre Plattform darf dieser Sitzung nicht beitreten. Der Host muss die Crossplay-Option in Optionen – Allgemein aktiviert haben,Su plataforma no puede unirse a esta sesión. El anfitrión debe tener activada la opción de juego cruzado en Opciones - General
Consoles/GUI_MULTIPLAYER_CONNECTION_FAILED_CurrentUserBlockedByUserInSession,User in session has blocked you,L'utilisateur en session vous a bloqué,Benutzer in Sitzung hat Sie blockiert,El usuario en sesión te ha bloqueado
Consoles/GUI_MULTIPLAYER_CONNECTION_FAILED_DLCDoNotMatchJotl,"Downloadable content was not found on this device:
""Jaws Of The Lion""
Please install needed DLCs to connect to this session.","Contenu téléchargeable introuvable sur cet appareil :
""Les Mâchoires du Lion""
Veuillez installer les DLC requis pour pouvoir vous connecter à cette session.","Der folgende herunterladbare Inhalt wurde auf diesem Gerät nicht gefunden:
""Die Pranken des Löwen""
Bitte installiere den benötigten DLC, um an dieser Partie teilzunehmen.","No se ha encontrado contenido descargable en este dispositivo:
«Fauces del León»
Instala el contenido descargable necesario para conectarte a esta sesión."
Consoles/GUI_MULTIPLAYER_CONNECTION_FAILED_DLCDoNotMatchJotlAndSoloScenarious,"Downloadable content was not found on this device:
""Solo Scenarios""
""Jaws Of The Lion""
Please install needed DLCs to connect to this session.","Contenu téléchargeable introuvable sur cet appareil :
""Scénarios solo""
""Les Mâchoires du Lion""
Veuillez installer les DLC requis pour pouvoir vous connecter à cette session.","Die folgenden herunterladbaren Inhalte wurden auf diesem Gerät nicht gefunden:
""Solo-Szenarien""
""Die Pranken des Löwen""
Bitte installiere den benötigten DLC, um an dieser Partie teilzunehmen.","No se ha encontrado contenido descargable en este dispositivo:
«Escenarios en solitario»
«Fauces del León»
Instala el contenido descargable necesario para conectarte a esta sesión."
Consoles/GUI_MULTIPLAYER_CONNECTION_FAILED_DLCDoNotMatchSoloScenarious,"Downloadable content was not found on this device:
""Solo Scenarios""
Please install needed DLCs to connect to this session.","Contenu téléchargeable introuvable sur cet appareil :
""Scénarios solo""
Veuillez installer les DLC requis pour pouvoir vous connecter à cette session.","Der folgende herunterladbare Inhalt wurde auf diesem Gerät nicht gefunden:
""Solo-Szenarien""
Bitte installiere den benötigten DLC, um an dieser Partie teilzunehmen.","No se ha encontrado contenido descargable en este dispositivo:
«Escenarios en solitario»
Instala el contenido descargable necesario para conectarte a esta sesión."
Consoles/GUI_MULTIPLAYER_CONNECTION_FAILED_KickedByHost,You were kicked by the host,Vous avez été frappé par l'hôte,Du wurdest vom Gastgeber gekickt,Fuiste pateado por el anfitrión
Consoles/GUI_MULTIPLAYER_CONNECTION_FAILED_MultiplayerValidationFail,Multiplayer privilege is not available,Le privilège multijoueur n'est pas disponible,Das Multiplayer-Privileg ist nicht verfügbar,El privilegio multijugador no está disponible
Consoles/GUI_MULTIPLAYER_CONNECTION_FAILED_NotEnoughMemory,Not enough memory for host save file,Pas assez de mémoire pour le fichier de sauvegarde de l'hôte,Nicht genug Speicher für Host-Speicherdatei,No hay suficiente memoria para guardar el archivo del anfitrión.
Consoles/GUI_MULTIPLAYER_CONNECTION_FAILED_Reported,{reporter} has been added {reported} to blocklist,{reporter} a été ajouté {reported} à la liste de blocage,{reporter} wurde hinzugefügt {reported} zur Sperrliste,{reporter} ha sido añadido {reported} a la lista de bloqueo
Consoles/GUI_MULTIPLAYER_CONNECTION_FAILED_SessionCouldNotBeJoined,Session could not be joined,Impossible de rejoindre la session,Sitzung konnte nicht beigetreten werden,No se pudo unir a la sesión
Consoles/GUI_MULTIPLAYER_CONNECTION_FAILED_SessionShutDown,Session shut down,,,
Consoles/GUI_MULTIPLAYER_CONNECTION_FAILED_UserInSessionBlockedByCurrentUser,User in session in your blocklist,Utilisateur en session dans votre liste de blocage,Benutzer in Sitzung in Ihrer Sperrliste,Usuario en sesión en su lista de bloqueo
Consoles/GUI_MULTIPLAYER_CROSSPLAY_LOCKED_TOOLTIP,Modded sessions are not available for crossplay. Turn off Crossplay in Options to host a session,Modded sessions are not available for crossplay. Turn off Crossplay in Options to host a session,Modded sessions are not available for crossplay. Turn off Crossplay in Options to host a session,Modded sessions are not available for crossplay. Turn off Crossplay in Options to host a session
Consoles/GUI_MULTIPLAYER_FRIENDS,Friends,Amis,Freunde,Amigos
Consoles/GUI_MULTIPLAYER_POPUP_CHARACTER_RETIRED_HEADER,{0} Retired!,{0} Retraité !,{0} Im Ruhestand!,{0} Retirado!
Consoles/GUI_MULTIPLAYER_POPUP_CHARACTER_RETIRED_MESSAGE,{0}'s Personal Quest Completed:,Quête personnelle de {0} terminée :,Persönliche Quest von {0} abgeschlossen:,Misión personal de {0} completada:
Consoles/GUI_MULTIPLAYER_POPUP_CITY_ENCOUNTER_HEADER,City Encounter!,Rencontre de ville !,Stadtbegegnung!,¡Encuentro de la ciudad!
Consoles/GUI_MULTIPLAYER_POPUP_CITY_ENCOUNTER_MESSAGE,Go to Gloomhaven:,Aller à Gloomhaven :,Gehe nach Gloomhaven:,Ir a Gloomhaven:
Consoles/GUI_MULTIPLAYER_POPUP_QUEST_HEADER,Host selected a Quest!,L'hôte a sélectionné une quête!,Gastgeber hat eine Quest ausgewählt!,¡El anfitrión seleccionó una misión!
Consoles/GUI_MULTIPLAYER_POPUP_QUEST_MESSAGE,Go to Quest screen:,Allez à l'écran Quête :,Gehe zum Quest-Bildschirm:,Ir a la pantalla de búsqueda:
Consoles/GUI_MULTIPLAYER_SELECT_CONTROL_TITLE,Give Control,Céder les commandes,Kontrolle übergeben,Dar el control
Consoles/GUI_MULTIPLAYER_TIP_TITLE,Multiplayer,Multijoueur,Mehrspieler,Multijugador
Consoles/GUI_MULTIPLAYER_USER_AWAY,Away,Absent,Abwesend,Ausente
Consoles/GUI_MULTIPLAYER_USER_INGAME,In-Game,En train de jouer,Im Spiel,Jugando
Consoles/GUI_MULTIPLAYER_USER_OFFLINE,Offline,Hors ligne,Offline,Sin conexión
Consoles/GUI_MULTIPLAYER_USER_ONLINE,Online,En ligne,Online,En línea
Consoles/GUI_MULTIPLAYER_VOICE_CHAT,Voice Chat,Chat vocal,Sprach-Chat,Chat de voz
Consoles/GUI_MULTIPLAYER_VOICE_CHAT_OFF,Off,Désactivé,Aus,No
Consoles/GUI_MULTIPLAYER_VOICE_CHAT_ON,On,Activé,Ein,Sí
Consoles/GUI_MULTIPLAYER_VOICE_PLAYER_MICOPHONE,My microphone,Mon micro,Mein Mikrofon,Mi micrófono
Consoles/GUI_NOTIFICATION_NOT_ENOUGH_MEMORY,Not enough save data size to save the game,Taille des données de sauvegarde insuffisante pour sauvegarder la partie,Nicht genug Speicherplatz zum Speichern vorhanden,No hay suficiente espacio en los datos de guardado para guardar la partida.
Consoles/GUI_NOTIFICATION_NOT_ENOUGH_MEMORY_TITLE,Write save error,Erreur d'écriture de la sauvegarde,Speicherfehler,Error al guardar los datos
Consoles/GUI_NO_DLC_ACTIVATED,No DLC Activated,Aucun DLC activé,Kein DLC aktiviert,Sin DLC activado
Consoles/GUI_OK,OK,OK,OK,Vale
Consoles/GUI_OPT_AUDIO_HAPTIC_HEADER,Haptic Feedback Settings,Paramètres de retours haptiques,Haptisches-Feedback-Einstellungen,Ajustes de retroalimentación háptica
Consoles/GUI_OPT_AUDIO_HAPTIC_VIBRATION_EU,Wireless controller vibration strength,Puissance des vibrations la manette sans fil,Wireless-Controller-Vibrationsstärke,Intensidad de la vibración del mando inalámbrico
Consoles/GUI_OPT_AUDIO_HAPTIC_VIBRATION_US,Wireless controller vibration strength,Puissance des vibrations la manette de jeu sans fil,Wireless-Controller-Vibrationsstärke,Intensidad de la vibración del control inalámbrico
Consoles/GUI_OPT_AUDIO_HAPTIC_VOLUME_EU,Wireless controller speaker volume,Volume du haut-parleur la manette sans fil,Wireless-Controllers-Lautsprecherlautstärke,Volumen del altavoz del mando inalámbrico
Consoles/GUI_OPT_AUDIO_HAPTIC_VOLUME_US,Wireless controller speaker volume,Volume du haut-parleur la manette de jeu sans fil,Wireless-Controllers-Lautsprecherlautstärke,Volumen del altavoz del control inalámbrico
Consoles/GUI_OPT_AUDIO_UI,UI Volume,UI Volume,UI Volume,UI Volume
Consoles/GUI_OPT_COMBAT_LOG_CROSSPLAY,Crossplay,Crossplay,Crossplay,Juego cruzado
Consoles/GUI_OPT_CONTROL_SCENARIO_TOGGLE_SPEED,Auto Fast Forward Animations,Animations d'avance rapide automatique,Animationen zum automatischen Vorspulen,Animaciones automáticas de avance rápido
Consoles/GUI_OPT_GENERAL,General,Généraux,Allgemeine,General
Consoles/GUI_OPT_INPUT_DEVICE,Input Device,Périphérique de saisie,Eingabegerät,Dispositivo de entrada
Consoles/GUI_OPT_INVERSE_AXIS,Inverse Axis,Axe inversé,Invertierte Achse,Eje invertido
Consoles/GUI_OPT_STICK_SENSIBILITY,Stick Sensibility,Sensibilité du joystick,Stick-Empfindlichkeit,Sensibilidad de la palanca
Consoles/GUI_OPT_SWITCH_SKIP_AND_UNDO_BUTTONS,Switch Skip/Undo buttons,Switch Skip/Undo buttons,Switch Skip/Undo buttons,Switch Skip/Undo buttons
Consoles/GUI_OPT_VIBRATION,Vibration,Vibration,Vibration,Vibración
Consoles/GUI_PC_GAMEPAD_ADDED_BUTTON,Continue with Mouse/Keyboard,Continuer avec la souris et le clavier,Weiter mit Maus und Tastatur spielen,Seguir con teclado y ratón
Consoles/GUI_PC_GAMEPAD_ADDED_HEADER,New Device (Gamepad) Was Discovered,Nouveau périphérique (manette) détecté,Neues Eingabegerät entdeckt: Gamepad,Se ha detectado un nuevo dispositivo (mando)
Consoles/GUI_PC_GAMEPAD_ADDED_TEXT,Please press any key on gamepad to continue playing with it.,Appuyez sur une touche de la manette pour continuer à jouer avec.,"Bitte drücke eine beliebige Taste auf dem Gamepad, um weiter damit zu spielen.",Pulsa cualquier botón del mando para seguir jugando con él.
Consoles/GUI_PC_GAMEPAD_ADDED_WARNING,Warning - your scene will be shortly reloaded.,Attention : votre scène sera bientôt rechargée.,Warnung: Deine Szene wird in Kürze erneut geladen.,Aviso: La escena se volverá a cargar dentro de poco.
Consoles/GUI_PC_GAMEPAD_ADDED_WARNING_CLIENT,Warning - Client disconnection,Attention : client déconnecté,Warnung: Verbindung zum Client getrennt,Aviso: Cliente desconectado
Consoles/GUI_PC_GAMEPAD_ADDED_WARNING_HOST,Warning - Host disconnection,Attention : hôte déconnecté,Warnung: Verbindung zum Host getrennt,Aviso: Anfitrión desconectado
Consoles/GUI_PC_Gamepad_Gamepad,Gamepad,Manette,Gamepad,Mando
Consoles/GUI_PC_Gamepad_Header_Connected,Please select device for input,Merci de sélectionner le périphérique d'entrée,Bitte wähle ein Eingabegerät.,Selecciona el dispositivo de entrada.
Consoles/GUI_PC_Gamepad_Header_Disconnected,Your gamepad has been disconnected. Please reconnect gamepad or switch to Mouse/Keyboard input,Votre manette a été déconnectée. Veuillez la reconnecter ou passer au jeu au clavier et à la souris.,Die Verbindung zu deinem Gamepad wurde getrennt. Bitte verbinde das Gamepad erneut oder wechsle zur Steuerung per Maus/Tastatur.,El mando se ha desconectado. Vuelve a conectarlo o cámbialo por el ratón y el teclado.
Consoles/GUI_PC_Gamepad_Info_Connected,You can change input device in Options - Controls,Vous pouvez changer de périphérique d'entrée dans Options - Commandes,"Du kannst das Eingabegerät unter ""Steuerung"" in den Optionen wechseln.",Puedes cambiar el dispositivo de entrada en Opciones > Controles.
Consoles/GUI_PC_Gamepad_Info_Disconnected,"You can change input device in Options - Controls

Reload of the scene will take several seconds","Vous pouvez changer de périphérique d'entrée dans Options - Commandes

Recharger la scène prendra quelques secondes","Du kannst das Eingabegerät unter ""Steuerung"" in den Optionen wechseln.

Das erneute Laden der Szene wird mehrere Sekunden in Anspruch nehmen.","Puedes cambiar el dispositivo de entrada en Opciones > Controles.

La escena tardará unos segundos en reiniciarse."
Consoles/GUI_PC_Gamepad_Mouse_Keyboard,Mouse + Keyboard,Clavier + souris,Maus + Tastatur,Ratón y teclado
Consoles/GUI_PC_PRESS_ENTER,Press Enter,Appuyez sur Entrée,Drücke die Enter-Taste,Pulsa la tecla Entrar
Consoles/GUI_PartyProsperity,Wealth,Richesse,Wohlstand,Riqueza
Consoles/GUI_QUEST_AVAILABLE_REWARD,Available!,Disponibles !,Verfügbar!,Disponible(s)!
Consoles/GUI_QUEST_GROUP_CITY_EVENT,City Encounter,Rencontre de ville,Stadtbegegnung,Encuentro en ciudad
Consoles/GUI_QUEST_SELECTED,Quest Selected,Quête Sélectionné,Quest ausgesucht,Misión Seleccionan
Consoles/GUI_REPORT_PLAYER,Report Player,Signaler un Joueur,Spieler Melden,Reportar Jugador
Consoles/GUI_REPORT_SOFTLOCK,Report Soft Lock,Signaler un softlock,Soft Lock melden,Informar de bloqueo
Consoles/GUI_SELECT_QUEST_HOST_ERROR_TIP,Wait for other Players or Return to Single Player mode to Select a Quest,Attendez que d'autres joueurs ou retournez en mode solo pour sélectionner une quête,"Warte auf andere Spieler oder kehre zum Einzelspielermodus zurück, um eine Quest auszuwählen",Espera a otros jugadores o vuelve al modo de un solo jugador para seleccionar una misión
Consoles/GUI_SEND_ERROR_REPORT,Send Error Report,Envoyer un rapport d'erreur,Fehlerbericht senden,Enviar informe de errores
Consoles/GUI_SETTINGS_CONTROLS_ABOUT,About | Tips | Hide UI (HOLD),À propos | Conseils | Masquer l'interface utilisateur,Über | Tipps | Benutzeroberfläche ausblenden,Acerca de | Consejos | Ocultar interfaz de usuario
Consoles/GUI_SETTINGS_CONTROLS_ALL_CARDS,All Cards,Toutes les cartes,Alle Karten,Todas las tarjetas
Consoles/GUI_SETTINGS_CONTROLS_ALL_OPTIONS,Options | Menu | Pause,Options | menu | Pause,Optionen | Menü | Pause,Opciones | Menú | Pausa
Consoles/GUI_SETTINGS_CONTROLS_BATTLE_LOG,Battle Log,Journal de bataille,Battlelog,registro de batalla
Consoles/GUI_SETTINGS_CONTROLS_HIGHLIGHT,Highlight Interactables (HOLD),Mettez en surbrillance les éléments interactifs,Markieren Sie Interactables,Resaltar interactivos
Consoles/GUI_SETTINGS_CONTROLS_HOME,Home,Maison,Heim,Hogar
