Key,English [en-GB],French [fr],German [de],Spanish [es],Polish [pl],
JOTL_174_B,"Any time you or any ally loses <nobr>POISON <sprite name=Poison></nobr>, that figure gains <nobr>STRENGTHEN <sprite name=Strengthen></nobr>.","Chaque fois que vous ou un allié perdez <nobr>EMPOISONNEMENT <sprite name=Poison></nobr>, vous (ou lui) gagnez <nobr>RENFORCEMENT <sprite name=Strengthen>.</nobr>","Wann immer du oder ein Verbündeter <nobr>GIFT <sprite name=Poison></nobr> verliert, erhält diese Figur <nobr>STÄRKUNG <sprite name=Strengthen></nobr>.","Cada vez que tú o cualquier aliado perdáis el estado <nobr>VENENO <sprite name=Poison></nobr>, esa figura obtiene <nobr>FORTALECIMIENTO <sprite name=Strengthen></nobr>.","Za każdym razem gdy ty albo dowolny sojusznik stracicie <nobr>ZATRUCIE <sprite name=Poison></nobr>, otrzymujecie <nobr>WZMOCNIENIE <sprite name=Strengthen></nobr>.",
JOTL_175_B,Force one enemy within <nobr>Range <sprite name=Range> 3</nobr> to perform,Force un adversaire à <nobr>Portée <sprite name=Range> 3</nobr> à effectuer,Zwinge einen Gegner in <nobr>Reichweite <sprite name=Range> 3</nobr> dies auszuführen:,Obliga a un enemigo a <nobr>Alcance <sprite name=Range> 3</nobr> a realizar,Zmuś jednego przeciwnika w <nobr>Zasięgu <sprite name=Range> 3</nobr> do wykonania akcji,
JOTL_176_T_1,One ally within <nobr>Range <sprite name=Range> 2</nobr> may perform,Un allié à <nobr>Portée <sprite name=Range> 2</nobr> peut effectuer,Ein Verbündeter in <nobr>Reichweite <sprite name=Range> 2</nobr> kann dies ausführen:,Un aliado a <nobr>Alcance <sprite name=Range> 2</nobr> puede realizar,Jeden sojusznik w <nobr>Zasięgu <sprite name=Range> 2</nobr> może wykonać akcję,
JOTL_176_T_2,"If they do, that ally may perform","Dans ce cas, il peut également effectuer","Wenn er dies tut, kann dieser Verbündete","Si lo hace, este aliado puede realizar","Jeśli to zrobi, może wykonać akcję",
JOTL_176_T_3,where X is the amount of damage suffered by the target of the attack.,où X est le nombre de dégâts subis par la cible de l'attaque.,"ausführen. X ist der Schaden, den das Ziel des Angriffs erlitten hat.",donde X es la cantidad de daño sufrido por el objetivo del ataque.,gdzie X to liczba obrażeń otrzymanych przez cel ataku.,
JOTL_177_T,"If either target suffers damage this round or this active effect is cancelled before the end of the round, both targets lose <nobr>STUN <sprite name=Stun></nobr>.","Si cet effet actif est annulé avant la fin du round ou si l'une des cibles subit des dégâts au cours de ce round, les deux cibles perdent <nobr>ÉTOURDISSEMENT <sprite name=Stun>.</nobr>","Wenn ein Ziel in dieser Runde Schaden erleidet oder dieser aktive Effekt vor Rundenende aufgehoben wird, verlieren beide Ziele <nobr>BETÄUBUNG <sprite name=Stun></nobr>.","Si cualquiera de los objetivos sufre daño esta ronda o este efecto activo es cancelado antes de que acabe la ronda, ambos objetivos pierden <nobr>ATURDIMIENTO <sprite name=Stun></nobr>.","Jeśli ta karta zostanie odrzucona przed zakończeniem rundy albo któryś z celów otrzyma w tej rundzie obrażenia, oba cele tracą <nobr>OGŁUSZENIE <sprite name=Stun></nobr>.",
JOTL_177_B,You and all allies within <nobr>Range <sprite name=Range> 2</nobr> may perform,Vous-même et tous vos alliés à <nobr>Portée <sprite name=Range> 2</nobr> pouvez effectuer,Du und alle Verbündeten in <nobr>Reichweite <sprite name=Range> 2</nobr> können dies ausführen:,Tú y todos los aliados a <nobr>Alcance <sprite name=Range> 2</nobr> podéis realizar,Ty oraz wszyscy sojusznicy w <nobr>Zasięgu <sprite name=Range> 2</nobr> możecie wykonać,
JOTL_178_T,"On your next three Heal abilities when possible, target an additional ally.","Lors de vos trois prochaines capacités de type Soins, ciblez un allié supplémentaire (si possible).","Visiere bei deinen nächsten drei Heilungsfertigkeiten einen zusätzlichen Verbündeten an, wenn möglich.","Para tus próximas 3 capacidades de Curación, cuando sea posible, toma como objetivo a 1 aliado adicional.","W przypadku twoich trzech następnych zdolności Leczenia, weź na cel dodatkowego sojusznika, o ile to możliwe.",
JOTL_179_T_1,Force all other enemies within <nobr>Range <sprite name=Range> 3</nobr> of the target to perform,Oblige tous les autres adversaires à <nobr>Portée <sprite name=Range> 3</nobr> de la cible à effectuer,Zwinge alle anderen Gegner in <nobr>Reichweite <sprite name=Range> 3</nobr> des Ziels,Obliga a todos los demás enemigos a <nobr>Alcance <sprite name=Range> 3</nobr> del objetivo a realizar,Zmuś wszystkich przeciwników w <nobr>Zasięgu <sprite name=Range> 3</nobr> od celu do wykonania akcji,
JOTL_179_T_2,targeting the target of the Poison ability.,ciblant la victime de l'état Empoisonnement.,gegen den gerade mit der Gift-Fertigkeit anvisierten Gegner auszuführen.,tomando como objetivo al objetivo original de la capacidad de Veneno.,Akcja ta skierowana jest w cel zdolności Zatrucia.,
JOTL_179_B,All allies and enemies within <nobr>Range <sprite name=Range> 3</nobr> suffer 1 damage.,Tous les alliés et adversaires à <nobr>Portée <sprite name=Range> 3</nobr> subissent 1 dégât.,Alle Verbündeten und Gegner in <nobr>Reichweite <sprite name=Range> 3</nobr> erleiden 1 Schaden.,Todos los aliados y enemigos a <nobr>Alcance <sprite name=Range> 3</nobr> sufren 1 de daño.,Wszyscy sojusznicy oraz przeciwnicy w <nobr>Zasięgu <sprite name=Range> 3</nobr> otrzymują 1 obrażenie.,
JOTL_180_B_1,One ally within <nobr>Range <sprite name=Range> 3</nobr> may perform,Un allié à <nobr>Portée <sprite name=Range> 3</nobr> peut effectuer,Ein Verbündeter in <nobr>Reichweite <sprite name=Range> 3</nobr> kann ausführen:,Un aliado a <nobr>Alcance <sprite name=Range> 3</nobr> puede realizar,Jeden sojusznik w <nobr>Zasięgu <sprite name=Range> 3</nobr> może wykonać akcję,
JOTL_180_B_2,"If they do, gain <sprite name=XP1> and that ally gains <nobr>POISON <sprite name=Poison></nobr>.","Dans ce cas, vous gagnez <sprite name=XP1>, tandis que lui subit <nobr>EMPOISONNEMENT <sprite name=Poison>.</nobr>","Wenn er dies tut, erhältst du <sprite name=XP1> und der Verbündete erhält <nobr>GIFT <sprite name=Poison></nobr>.","Si lo hace, obtén <sprite name=XP1> y dicho aliado obtiene <nobr>VENENO <sprite name=Poison></nobr>.","Jeśli to zrobi, zyskujesz <sprite name=XP1> a dany sojusznik otrzymuje <nobr>ZATRUCIE <sprite name=Poison></nobr>.",
JOTL_225_B,All attacks targeting you gain Disadvantage this round.,Toutes les attaques vous ciblant subissent un Désavantage au cours de ce round.,"Alle Angriffe, die dich in dieser Runde anvisieren, erhalten Nachteil.",Todos los ataques que te tomen como objetivo obtienen Desventaja durante esta ronda.,Wszystkie ataki skierowane w ciebie posiadają w tej rundzie Niekorzyść.,
JOTL_227_B,All adjacent enemies suffer 1 damage.,Tous les adversaires adjacents subissent 1 dégât.,Alle angrenzenden Gegner erleiden 1 Schaden.,Todos los enemigos adyacentes sufren 1 de daño.,Wszyscy sąsiadujący przeciwnicy otrzymują 1 obrażenie.,
JOTL_230_T,"The next five times an enemy enters a hex adjacent to you, that enemy suffers 2 damage.","Les 5 prochaines fois qu'un adversaire entre sur un hexagone qui vous est adjacent, il subit 2 dégâts.","Die nächsten fünf Male, wenn ein Gegner ein an dich angrenzendes Feld betritt, erleidet dieser Gegner 2 Schaden.","Las próximas 5 veces que un enemigo entre en un hexágono adyacente a ti, ese enemigo sufre 2 de daño.","W pięciu następnych przypadkch wejścia przeciwnika na pole obok ciebie, przeciwnik ten otrzymuje 2 obrażenia.",
JOTL_233_T,Target one enemy within 2 hexes,Cible un adversaire à 2 hexagones ou moins.,Visiere einen Gegner im Umkreis von zwei Feldern an.,Toma como objetivo a un enemigo a 2 hexágonos o menos.,Cel: jeden przeciwnik w Zasięgu 2 pól,
JOTL_225_B,All attacks targeting you gain Disadvantage this round.,Toutes les attaques vous ciblant subissent un Désavantage au cours de ce round.,"Alle Angriffe, die dich in dieser Runde anvisieren, erhalten Nachteil.",Todos los ataques que te tomen como objetivo obtienen Desventaja durante esta ronda.,Wszystkie ataki skierowane w ciebie posiadają w tej rundzie Niekorzyść.,
JOTL_226_T,"Each time after an adjacent enemy attacks you, that enemy suffers damage equal to your Shield value.","Chaque fois qu'un adversaire adjacent vous attaque, il subit ensuite des dégâts égaux à votre valeur de Bouclier.","Nachdem dich ein angrenzender Gegner angegriffen hat, erleidet er Schaden in Höhe deines Schildwerts.","Después de cada vez que un enemigo adyacente te ataque, ese enemigo sufre un daño igual a tu valor de Escudo.","Za każdym razem gdy sąsiadujący przeciwnik cię zaatakuje, otrzymuje obrażenia równe wartości twojej Tarczy.",
JOTL_227_B,All adjacent enemies suffer 1 damage.,Tous les adversaires adjacents subissent 1 dégât.,Alle angrenzenden Gegner erleiden 1 Schaden.,Todos los enemigos adyacentes sufren 1 de daño.,Wszyscy sąsiadujący przeciwnicy otrzymują 1 obrażenie.,
JOTL_230_T,"The next five times an enemy enters a hex adjacent to you, that enemy suffers 2 damage.","Les 5 prochaines fois qu'un adversaire entre sur un hexagone qui vous est adjacent, il subit 2 dégâts.","Die nächsten fünf Male, wenn ein Gegner ein an dich angrenzendes Feld betritt, erleidet dieser Gegner 2 Schaden.","Las próximas 5 veces que un enemigo entre en un hexágono adyacente a ti, ese enemigo sufre 2 de daño.","W pięciu następnych przypadkch wejścia przeciwnika na pole obok ciebie, przeciwnik ten otrzymuje 2 obrażenia.",
JOTL_233_T,Target one enemy within 2 hexes,Cible un adversaire à 2 hexagones ou moins.,Visiere einen Gegner im Umkreis von zwei Feldern an.,Toma como objetivo a un enemigo a 2 hexágonos o menos.,Cel: jeden przeciwnik w zasięgu 2 pól,
JOTL_235_B_1,All enemies moved through suffer 1 damage.,Tous les adversaires franchis subissent 1 dégât.,Alle durchquerten Gegner erleiden 1 Schaden.,Todos los enemigos por cuyo hexágono hayas pasado sufren 1 de daño.,Wszyscy przeciwnicy na trasie twojego ruchu otrzymują 1 obrażenie.,
JOTL_235_B_2,"2 damage instead, <sprite name=XP1>","2 dégâts à la place, <sprite name=XP1>","Stattdessen 2 Schaden, <sprite name=XP1>","En vez de 1, 2 de daño, <sprite name=XP1>.","zamiast tego 2 obrażenia, <sprite name=XP1>",
JOTL_236_T,Add <nobr>+3 Attack <sprite name=Attack></nobr> if the target has a negative condition.,Ajoute <nobr>+3 en Attaque <sprite name=Attack></nobr> si la cible est sous le coup d'un état négatif.,"Füge <nobr>+3 Angriff <sprite name=Attack></nobr> hinzu, wenn das Ziel an einem negativen Zustand leidet.",Añade <nobr>Ataque <sprite name=Attack> +3</nobr> si el objetivo tiene un estado negativo.,"Dodaj <nobr>+3 do Ataku <sprite name=Attack></nobr>, jeśli cel ma negatywny stan.",
JOTL_237_B,<nobr>Loot <sprite name=Loot></nobr> each hex you enter with this movement.,Vous procédez au <nobr>Pillage <sprite name=Loot></nobr> de tous les hexagones sur lesquels vous entrez au cours de ce déplacement.,Sammle mit dieser Bewegung <nobr>Beute <sprite name=Loot></nobr> auf allen Feldern.,<nobr>Saquea <sprite name=Loot></nobr> todos los hexágonos en los que entres con este movimiento.,"Wykonaj <nobr>Grabież <sprite name=Loot></nobr> każdego pola, na jakie wejdziesz w tym ruchu.",
JOTL_238_T,All adjacent enemies suffer 1 damage.,Tous les adversaires adjacents subissent 1 dégât.,Alle angrenzenden Gegner erleiden 1 Schaden.,Todos los enemigos adyacentes sufren 1 de daño.,Wszyscy sąsiadujący przeciwnicy otrzymują 1 obrażenie.,
JOTL_240_T_1,"Each time the target is attacked this round, it suffers 1 damage.","Chaque fois que la cible est attaquée au cours de ce round, elle subit 1 dégât.","Wann immer das Ziel in dieser Runde angegriffen wird, erleidet es 1 Schaden.","Cada vez que el objetivo sea atacado durante esta ronda, sufre 1 de daño.","Za każdym razem gdy cel zostanie w tej rundzie zaatakowany, otrzymuje 1 obrażenie. ",
JOTL_240_T_2,"2 damage instead, <sprite name=XP1>","2 dégâts à la place, <sprite name=XP1>","Stattdessen 2 Schaden, <sprite name=XP1>","En vez de 1, 2 de daño, <sprite name=XP1>.","zamiast tego 2 obrażenia, <sprite name=XP1>",
JOTL_240_T_3,"If Fire was consumed, 2 damage instead.","Si l'élément Feu a été consommé, 2 dégâts à la place.","Wurde Feuer verbraucht, stattdessen 2 Schaden.","Si se ha consumido Fuego, 2 de daño.","Jeśli zużyto Ogień, zamiast tego 2 obrażenia.",
JOTL_241_T,All enemies adjacent to the target suffer 1 damage.,Tous les adversaires adjacents à la cible subissent 1 dégât.,Alle ans Ziel angrenzenden Gegner erleiden 1 Schaden.,Todos los enemigos adyacentes al objetivo sufren 1 de daño.,Wszyscy przeciwnicy sąsiadujący z celem otrzymują 1 obrażenie.,
JOTL_242_T,Target all enemies within 2 hexes,Cible tous les adversaires à 2 hexagones ou moins.,Visiere alle Gegner im Umkreis von zwei Feldern an.,Toma como objetivo a todos los enemigos a 2 hexágonos o menos.,Cel: wszyscy przeciwnicy w zasięgu 2 pól,
JOTL_244_T,"Place the Sand Devil in an adjacent empty hex. It is considered a trap for the purposes of monster focusing and movement. At the start of each of your turns, you may move it up to 2 hexes, and you may force any character on it to move with it. Any time a character moves onto it or vice versa (not when moving together), that character suffers 1 damage and gains <nobr>MUDDLE <sprite name=Muddle></nobr>.","Placez le Diable des Sables sur un hexagone vide adjacent. Il est considéré comme un piège pour ce qui est de la focalisation des monstres et de leur déplacement. Au début de chacun de vos tours, vous pouvez le déplacer de 2 hexagones maximum, et vous pouvez forcer n'importe quel personnage se trouvant à cet endroit à se déplacer avec lui. Chaque fois qu'un personnage entre sur l'hexagone du Diable ou vice versa (pas lorsqu'ils se déplacent ensemble), ce personnage subit 1 dégât, ainsi que <nobr>CONFUSION <sprite name=Muddle>.</nobr>","Stelle den Sandteufel auf ein angrenzendes leeres Feld. Für die Berechnung des Monsterfokus und der Monsterbewegungen zählt er als Falle. Du darfst ihn zu Beginn deines Zugs jeweils bis zu zwei Felder weit bewegen und darfst auf dem Sandteufel stehende Figuren zwingen, sich mitzubewegen. Wann immer ein Charakter es betritt oder umgekehrt, erleidet er 1 Schaden und erhält <nobr>VERWIRRUNG <sprite name=Muddle></nobr>.","Pon el Remolino de arena en un hexágono vacío adyacente. Se considera una trampa a efectos de atención y movimiento de los monstruos. Al comienzo de cada uno de tus turnos, puedes moverlo hasta 2 hexágonos y forzar a cualquier figura por cuyo hexágono pase a moverse con él. Cada vez que una figura entre en el hexágono del Remolino de arena o viceversa (pero no cuando se muevan juntos), la figura sufre 1 de daño y obtiene <nobr>CONFUSIÓN <sprite name=Muddle></nobr>.","Postaw Piaskowego Demona na dowolnym sąsiednim polu. Na potrzeby skupienia i ruchu potworów traktowany jest jak pułapka. Na początku każdej twojej tury możesz przesunąć go do 2 pól oraz możesz zmusić postać na jego polu, by poruszała się wraz z nim. Za każdym razem, gdy jakaś postać wejdzie na diabła lub vice versa (ale nie gdy poruszają się razem), postać ta otrzymuje 1 obrażenie oraz <nobr>ZAMROCZENIE <sprite name=Muddle></nobr>.",
JOTL_245_T,"The next four times an enemy enters a hex adjacent to you, that enemy gains <nobr>DISARM <sprite name=Disarm></nobr>.","Les quatre prochaines fois qu'un adversaire entre sur un hexagone qui vous est adjacent, il subit <nobr>DÉSARMEMENT <sprite name=Disarm>.</nobr>","Die nächsten vier Male, wenn ein Gegner ein an dich angrenzendes Feld betritt, erhält dieser Gegner <nobr>ENTWAFFNEN <sprite name=Disarm></nobr>.","Las próximas 4 veces que un enemigo entre en un hexágono adyacente a ti, ese enemigo obtiene <nobr>DESARME <sprite name=Disarm></nobr>.","W czterech następnych przypadkach wejścia przeciwnika na pole obok ciebie, przeciwnik ten otrzymuje <nobr>ROZBROJENIE <sprite name=Disarm></nobr>.",
JOTL_245_B,All adjacent enemies suffer 2 damage.,Tous les adversaires adjacents subissent 2 dégâts.,Alle angrenzenden Gegner erleiden 2 Schaden.,Todos los enemigos adyacentes sufren 2 de daño.,Wszyscy sąsiadujący przeciwnicy otrzymują 2 obrażenia.,
JOTL_247_T_1,"One adjacent ally may perform an ""<nobr>Attack <sprite name=Attack> 3</nobr>"" action, <sprite name=XP1>.","Un allié adjacent peut effectuer une action <nobr>« Attaque <sprite name=Attack> 3 »</nobr>, <sprite name=XP1>.","Ein angrenzender Verbündeter kann einen ""<nobr>Angriff <sprite name=Attack> 3</nobr>"", <sprite name=XP1>, ausführen.","Un aliado adyacente puede realizar una acción de «<nobr>Ataque <sprite name=Attack> 3</nobr>», <sprite name=XP1>.","Jeden sąsiadujący sojusznik może wykonać akcję „<nobr>Atak <sprite name=Attack> 3</nobr>”, <sprite name=XP1>.",
JOTL_247_T_2,"One different adjacent ally may perform an ""<nobr>Attack <sprite name=Attack> 3</nobr>"" action, <sprite name=XP1>.","Un allié adjacent différent peut effectuer une action <nobr>« Attaque <sprite name=Attack> 3 »</nobr>, <sprite name=XP1>.","Ein anderer angrenzender Verbündeter kann einen ""<nobr>Angriff <sprite name=Attack> 3</nobr>"", <sprite name=XP1>, ausführen.","Un aliado adyacente diferente puede realizar una acción de «<nobr>Ataque <sprite name=Attack> 3</nobr>», <sprite name=XP1>.","Jeden inny sąsiadujący sojusznik może wykonać akcję „<nobr>Atak <sprite name=Attack> 3</nobr>”, <sprite name=XP1>.",
JOTL_247_B,One adjacent enemy suffers 1 damage.,Un adversaire adjacent subit 1 dégât.,Ein angrenzender Gegner erleidet 1 Schaden.,Un enemigo adyacente sufre 1 de daño.,Jeden sąsiadujący przeciwnik otrzymuje 1 obrażenie.,
JOTL_250_T,"Any time you are attacked this round, gain <nobr>Shield <sprite name=Shield> X</nobr> for the attack, where X is the number of enemies adjacent to you at the time of the attack, up to a maximum of 3.","Chaque fois que vous êtes attaqué durant ce round, vous gagnez <nobr>Bouclier <sprite name=Shield> X</nobr> pour cette attaque, X étant le nombre d'adversaires qui vous sont adjacents au moment de l'attaque, jusqu'à un maximum de 3.","Wann immer du in dieser Runde angegriffen wirst, erhältst du <nobr>Schild <sprite name=Shield> X</nobr> für den Angriff. X ist die Anzahl der während des Angriffs an dich angrenzenden Gegner (maximal 3).","Cada vez que te ataquen durante esta ronda, obtienes <nobr>Escudo <sprite name=Shield> X</nobr> para el ataque, donde X es el número de enemigos adyacentes a ti en el momento del ataque, hasta un máximo de 3.","Za każdym razem gdy w tej turze staniesz się obiektem ataku, zyskujesz <nobr>Tarczę <sprite name=Shield> X</nobr> na ten atak. X oznacza liczbę przeciwników sąsiadujących z tobą w momencie ataku, do maksymalnie 3.",
JOTL_250_B,"The next five times an enemy enters a hex adjacent to you, perform a ""<nobr>Heal <sprite name=Heal> 3</nobr>, Self"" action.","Les 5 prochaines fois qu'un adversaire entre sur un hexagone qui vous est adjacent, vous effectuez l'action <nobr>« Soins <sprite name=Heal> 3</nobr>, Sur soi-même ».","Die nächsten fünf Male, wenn ein Gegner ein an dich angrenzendes Feld betritt, wendest du ""<nobr>Heilung <sprite name=Heal> 3</nobr>"" auf dich selbst an.","Las próximas 5 veces que un enemigo entre en un hexágono adyacente a ti, realiza una acción de «<nobr>Curación <sprite name=Heal> 3</nobr>, Personal».","W pięciu następnych przypadkach wejścia przeciwnika na pole obok ciebie, wykonaj akcję „<nobr>Leczenie <sprite name=Heal> 3</nobr>, na siebie”.",
JOTL_252_T,"<nobr>+1 Attack <sprite name=Attack></nobr>, <nobr>+2 Range <sprite name=Range></nobr>, all enemies adjacent to the target suffer 1 damage","<nobr>+1 en Attaque <sprite name=Attack></nobr>, <nobr>+2 en Portée <sprite name=Range></nobr>, tous les adversaires adjacents à la cible subissent 1 dégât.","<nobr>+1 Angriff <sprite name=Attack></nobr>, <nobr>+2 Reichweite <sprite name=Range></nobr>, alle an das Ziel angrenzenden Gegner erleiden 1 Schaden.","<nobr>Ataque <sprite name=Attack> +1</nobr>, <nobr>Alcance <sprite name=Range> +2</nobr>, todos los enemigos adyacentes al objetivo sufren 1 de daño","<nobr>+1 do Ataku <sprite name=Attack></nobr>, <nobr>+2 do Zasięgu <sprite name=Range></nobr>, wszyscy przeciwnicy sąsiadujący z celem otrzymują 1 obrażenie.",
JOTL_252_B,All adjacent enemies suffer 3 damage.,Tous les adversaires adjacents subissent 3 dégâts.,Alle angrenzenden Gegner erleiden 3 Schaden.,Todos los enemigos adyacentes sufren 3 de daño.,Wszyscy sąsiadujący przeciwnicy otrzymują 3 obrażenia.,
JOTL_379,Create one 3-damage trap in an adjacent empty hex closest to an enemy.,Crée un piège à 3 dégâts sur l'hexagone vide adjacent le plus proche d'un adversaire.,"Erstelle eine Falle (3 Schaden) auf einem angrenzenden leeren Feld, das einem Gegner am nächsten ist.",Crea 1 trampa de daño 3 en el hexágono vacío adyacente más cercano a un enemigo.,"Stwórz jedną pułapkę zadającą 3 obrażenia na sąsiednim, pustym polu najbliższym jakiegoś przeciwnika.",
JOTL_387,<b><size=130%>Heal <sprite name=Heal> X</size></b>\nSelf\nwhere X is the damage suffered by the target of the attack,"<b><size=130%>Soins <sprite name=Heal> X</size></b>,\nSur vous-même,\noù X représente la quantité de dégâts subis par la cible de l'attaque.","<b><size=130%>Heile <sprite name=Heal> X</size></b>\nSelbst,\nwobei X der Schaden ist, den das Ziel des Angriffs erlitten hat.",<b><size=130%>Curación <sprite name=Heal> X</size></b>\nPersonal\nX es el daño sufrido por el objetivo del ataque.,<b><size=130%>Leczenie <sprite name=Heal> X</size></b>\nna siebie\nGdzie X to obrażenia otrzymane przez cel ataku,
JOTL_417,All enemies adjacent to the Attack target suffer 1 damage.,Tous les adversaires adjacents à la cible de l'attaque subissent 1 dégât.,Alle ans Ziel angrenzenden Gegner erleiden 1 Schaden.,Todos los enemigos adyacentes al objetivo sufren 1 de daño.,Wszyscy przeciwnicy sąsiadujący z celem Ataku otrzymują 1 obrażenie.,
JOTL_422,"If the attack is performed, the Monstrosity suffers 1 damage.","Si l'attaque est effectuée, la Monstruosité subit 1 dégât.","Wenn die Monstrosität diesen Angriff ausgeführt hat, erleidet sie 1 Schaden.","Si la Monstruosidad realiza este ataque, sufre 1 de daño.","Jeśli atak zostanie wykonany, Potworność otrzymuje 1 obrażenie.",
JOTL_423,Add <nobr>+1 Attack <sprite name=Attack></nobr> if the target is adjacent to any of the Monstrosity's allies.,Ajoute <nobr>+1 en Attaque <sprite name=Attack></nobr> si la cible est adjacente à l'un des alliés de la Monstruosité.,"Erhalte <nobr>+1 Angriff <sprite name=Attack> </nobr>, wenn das Ziel an einen Verbündeten der Monstrosität angrenzt.",Añade <nobr>Ataque <sprite name=Attack> +1</nobr> si el objetivo está adyacente a cualquiera de los aliados de la Monstruosidad.,"Dodaj <nobr>+1 do Ataku <sprite name=Attack></nobr>, jeśli cel sąsiaduje z dowolnym sojusznikiem Potworności.",
JOTL_426,Retaliates at any range,Riposte quelle que soit la portée,Vergeltung in beliebiger Reichweite,Activa Represalia a cualquier alcance.,Wykonuje Odwet o nieograniczonym zasięgu,
JOTL_427,Monstrosity suffers 1 damage.,La Monstruosité subit 1 dégât.,Monstrosität erleidet 1 Schaden.,La Monstruosidad sufre 1 de daño.,Potworność otrzymuje 1 obrażenie.,
JOTL_434,"The closest enemy, regardless of range, suffers {0} damage.","L'adversaire le plus proche subit {0} dégât(s), quelle que soit la portée.","Der Gegner, der dir am nächsten ist, erleidet unabhängig von der Reichweite {0} Schaden.","El enemigo más cercano, sin importar el alcance, sufre {0} de daño.","Najbliższy przeciwnik, niezależnie od zasięgu, otrzymuje {0} pkt. obrażeń.",
Boss_FirstOfTheOrder_Special1,All enemies within <nobr>Range <sprite name=Range> 2</nobr> suffer 2 damage.,Tous les adversaires à <nobr>Portée <sprite name=Range> 2</nobr> subissent 2 dégâts.,Alle Gegner in <nobr>Reichweite <sprite name=Range> 2</nobr> erleiden 2 Schaden.,Todos los enemigos a <nobr>Alcance <sprite name=Range> 2</nobr> sufren 2 de daño.,Wszyscy przeciwnicy w <nobr>Zasięgu <sprite name=Range> 2</nobr> otrzymują 2 obrażenia.,
Boss_FirstOfTheOrder_Special2,"<b><size=130%><nobr>Attack <sprite name=Attack> {0}</nobr></b></size>\nThen <nobr>Attack <sprite name=Attack> {1}</nobr> within <nobr>Range <sprite name=Range> 2</nobr> of the first target, then <nobr>Attack <sprite name=Attack> {2}</nobr> within <nobr>Range <sprite name=Range> 2</nobr> of the second target","<b><size=130%><nobr>Attaque <sprite name=Attack> {0}</nobr></b></size>,\npuis <nobr>Attaque <sprite name=Attack> {1}</nobr> à <nobr>Portée <sprite name=Range> 2</nobr> de la 1re cible, puis <nobr>Attaque <sprite name=Attack> {2}</nobr> à <nobr>Portée <sprite name=Range> 2</nobr> de la 2e cible","<b><size=130%><nobr>Führe <sprite name=Attack> {0}</nobr></b></size> aus.\n<nobr>Führe dann <sprite name=Attack> {1}</nobr> in <nobr>Reichweite <sprite name=Range> 2</nobr> zum ersten Ziel aus, dann <nobr> <sprite name=Attack> {2}</nobr> in <nobr>Reichweite <sprite name=Range> 2</nobr> zum zweiten Ziel","<b><size=130%><nobr>Ataque <sprite name=Attack> {0}</nobr></b></size>\nDespués, <nobr>Ataque <sprite name=Attack> {1}</nobr> a <nobr>Alcance <sprite name=Range> 2</nobr> del primer objetivo y, después, <nobr>Ataque <sprite name=Attack> {2}</nobr> a <nobr>Alcance <sprite name=Range> 2</nobr> del segundo objetivo.",<b><size=130%><nobr>Atak <sprite name=Attack> {0}</nobr></b></size>\nNastępnie <nobr>Atak <sprite name=Attack> {1}</nobr> w <nobr>Zasięgu <sprite name=Range> 2</nobr> od celu <nobr>Atak <sprite name=Attack> {2}</nobr> w <nobr>Zasięgu <sprite name=Range> 2</nobr> od celu,
Boss_BloodHorror_Special1,Revive all dead Zealots in room,Ramène tous les Zélots de la salle à la vie,Belebe alle toten Fanatiker im Raum wieder,Revive a todos los fanáticos de la sala.,Ożywienie wszystkich martwych Zelotów w pomieszczeniu,
Boss_BloodHorror_Special2,"Jump to the farthest dead Zealot and resurrect it as a Living Corpse, otherwise Jump to farthest character and Attack +0","Saut jusqu'au Zélote le plus éloigné, puis le ramène à un semblant de vie sous forme de Cadavre Réanimé, ou Saut jusqu'au personnage le plus éloigné et Attaque +0",Springe zum entferntesten toten Fanatiker und belebe ihn als Wandelnde Leiche wieder. Springe anderenfalls zum entferntesten Charakter und führe Angriff +0 aus,"Salta hasta el Fanático muerto más alejado y lo resucita como un Cadáver viviente, o bien Salta hasta la figura más alejada y usa Ataque +0.",Skok do najdalszego martwego Zeloty i jego ożywienie albo Skok do najdalszej postaci i Atak +0,
Monstrosity_OnDeath,"On death, all adjacent characters suffer {0} damage.","Au moment de sa mort, tous les personnages adjacents subissent {0} dégât(s).",Beim Tod erleiden alle angrenzenden Charaktere {0} Schaden.,"Al morir, todas las figuras adyacentes sufren {0} de daño.","Gdy zginie, wszystkie sąsiadujące postacie otrzymują {0} pkt. obrażeń.",
ABILITY_CARD_SignsOfTheVoid,Signs of the Void,Signes du Néant,Zeichen der Leere,Señales del Vacío,Znaki Pustki,
ABILITY_CARD_CloseToTheAbyss,Close to the Abyss,Proche des Abysses,Ruf des Abgrunds,Cerca del abismo,Bliskość Otchłani,
ABILITY_CARD_GiftOfTheVoid,Gift of the Void,Don du Néant,Geschenk der Leere,Regalo del Vacío,Dar Pustki,
ABILITY_CARD_BlackBoon,Black Boon,Sombre Aubaine,Schwarzsegen,Bendición de la negrura,Czarny Dar,
ABILITY_CARD_FreezeTheSoul,Freeze the Soul,Figer l'Âme,Erfrorene Seele,Helar el alma,Zamrożenie Duszy,
ABILITY_CARD_WickedScratch,Wicked Scratch,Méchante Égratignure,Fieser Kratzer,Arañazo perverso,Potworna Rysa,
ABILITY_CARD_TurnOutTheLights,Turn Out the Lights,Extinction des Feux,Lichter löschen,Hágase la oscuridad,Zgaszenie Świateł,
