Keys,English [en-GB],French [fr],German [de],Spanish [es],Polish [pl]
Quest_SOLO_Scoundrel_ArmoryHeist_INTRO_GH_8,"Without any other concrete plans in your calendar, you agree to the job. It is why you are here after all.","N'ayant rien de prévu, vous acceptez le boulot. C'est pour ça que vous êtes venu ici, après tout.","Da du sonst keine konkreten Pläne hast, nimmst du den Auftrag an. Schließlich bist du hier, um Arbeit zu finden.","Sin ningún otro plan en tu agenda, decides aceptar el trabajo. Al fin y al cabo, por eso estás aquí.","Nie mając innych konkretnych planów, zgadzasz się na tę robotę. W sumie po to tu jesteś."
Quest_SOLO_Scoundrel_ArmoryHeist_INTRO,"The following night, Rikharn leads you to an expensive-looking house in north Gloomhaven and walks around to a hidden back entrance leading into the basement. He grins and charges down the stairs.","La nuit suivante, Rikharn vous guide jusqu'à une riche maison dans le nord de Havrenuit et dégage l'entrée dissimulée d'une cave, à l'arrière de la bâtisse. Puis, tout sourire, il descend l'escalier.","Am folgenden Abend führt dich Rikharn zu einem gediegenen Haus im Norden von Gloomhaven und dann zu einem versteckten Hintereingang, der in den Keller führt. Er grinst und stürmt die Treppe hinunter.","A la noche siguiente, Rikharn te lleva a una ostentosa casa al norte de Gloomhaven y camina hacia una entrada oculta en la parte trasera que conduce al sótano. Sonríe y se adentra escaleras abajo.",Następnej nocy Rikharn prowadzi cię na tyły bogato wyglądającego domu w północnym Gloomhaven i kieruje do ukrytego wejścia do piwnicy. Uśmiecha się szeroko i zbiega w dół po schodach.
Scenario_SOLO_Scoundrel_ArmoryHeist_Misc_1,"You lift open the lid of the chest and stare down at a solitary dagger. Confused, you hold it up so that Rikharn can see.","Vous soulevez le couvercle du coffre, mais celui-ci est vide, à l'exception d'une dague. Stupéfait, vous la prenez en main, pour que Rikharn puisse la voir.","Du hebst den Deckel der Truhe an und starrst auf den einzelnen Dolch darin. Verwirrt hältst du ihn hoch, damit Rikharn ihn sieht.","Abres la tapa del cofre y te quedas mirando una solitaria daga. Con gran desconcierto, la coges y la levantas para que Rikharn la vea.",Podnosisz wieko skrzyni i wpatrujesz się w samotny sztylet. Podnosisz go zdziwiona i pokazujesz Rikharnowi.
Scenario_SOLO_Scoundrel_ArmoryHeist_Misc_2,"""Is that all?"" He seems as dumbfounded as you. ""Well, best hand it over. Maybe you can fish your cut of the job out of these dead guards’ pockets""","« C'est tout ? s'exclame-t-il, visiblement aussi sidéré que vous. Bah, donnez-la-moi quand même. Et peut-être que vous trouverez de quoi vous payer dans les poches des gardes morts. »","""Das ist alles?"" Er wirkt ebenso entgeistert wie du. ""Nun, rück ihn am besten raus. Vielleicht findest du deinen Anteil in den Taschen dieser toten Wachen.""","—¿Eso es todo? —pregunta, aparentemente tan perplejo como tú—. Bueno, será mejor que me la des. Tal vez puedas sacar tu parte del pago por el trabajo de los bolsillos de estos guardias muertos.","„To wszystko?“ - wygląda na równie zdezorientowanego co ty. „Dobra, dawaj. Zarobisz na swoją działkę z sakiewek zabitych strażników.“"
Scenario_SOLO_Scoundrel_ArmoryHeist_Misc_3,"You laugh at his presumption and pocket the dagger. His face turns dark and he hefts his sword in your direction. ""Fine, I suppose it’s better if there were no witnesses anyway.""","Éclatant de rire, vous décidez de garder la dague pour vous. Le visage de Rikharn s'assombrit et il pointe son épée dans votre direction. « Après tout, il vaut mieux éviter de laisser des témoins derrière soi, alors, je vais vous régler votre compte, ça simplifiera les choses. »","Du lachst über seine Anmaßung und steckst den Dolch ein. Sein Gesicht verfinstert sich, seine Schwertspitze zuckt in deine Richtung. ""Na schön, es ist ohnehin besser, wenn es keine Zeugen gibt.""","Te ríes de su descaro y te quedas con la daga. Entonces, su rostro se ensombrece y te apunta con su espada.
 
 —De todos modos, supongo que lo mejor será no dejar testigos.","Rozbawiona jego tupetem chowasz sztylet. Rikharn wykrzywia twarz w grymasie gniewu i kieruje miecz w twoją stronę. „Jak wolisz. W sumie lepiej, jak nie będźie świadków.“"
Scenario_SOLO_Scoundrel_ArmoryHeist_Success_1,"With no one left to challenge you, the treasure is yours. You quietly leave this scene of death and carnage, with no witnesses to the crime. Job well done.","Maintenant qu'il ne reste plus personne pour vous défier, le trésor est à vous. Vous quittez tranquillement le lieu du crime, sans laisser le moindre témoin vivant derrière vous. Rikharn aurait été fier de vous. Beau travail !","Da niemand mehr übrig ist, um dir den Schatz zu nehmen, gehört er nun dir. Still verlässt du diesen Ort des Gemetzels, ohne Zeugen zu hinterlassen. Gut gemacht.","Sin nadie más que te desafíe, el tesoro es tuyo. Abandonas en silencio la carnicería sin dejar testigos del delito. Buen trabajo.","Nikt nie może ci już zagrozić i skarb jest twój. Po cichu opuszczasz miejsce rzezi, nie pozostawiając żadnych świadków. To była dobra robota."
Quest_SOLO_Cragheart_StoneDefense_NAME,Stone Defense,Défense de Pierre,Steinerne Verteidigung,Defensa de piedra,Kamienna obrona
Quest_SOLO_Cragheart_StoneDefense_DESC,The Cragheart is called to the mountains,Le Cœur de Roche est appelé dans les montagnes,Das Felsenherz wird in die Berge gerufen,El Corazón hueco recibe la llamada de la montaña.,Skałosercy został wezwany w góry
Quest_SOLO_Cragheart_StoneDefense_List,The Cragheart's Solo Quest,Quête solo du Cœur de Roche,Soloquest des Felsenherz',Misión en solitario del Corazón hueco,Solowa misja Skałosercego
Quest_SOLO_Cragheart_StoneDefense_INTRO_GH_1,"The reminder is always there. Whatever successes you’ve had since leaving Savvas society, they are still colored by your humiliation and exile. The scar on your chest ensures you will never forget.","La vie ne vous permet jamais de l'oublier. Quels que soient les succès que vous avez obtenus depuis que vous avez quitté la société des Savvas, ils sont toujours teintés par votre humiliation et votre exil, que la cicatrice sur votre poitrine est là pour vous rappeler en permanence.","Die Erinnerung ist immer da. Welche Erfolge du seit dem Verlassen der Savvas-Gesellschaft auch hattest, sie werden durch deine Erniedrigung und Vertreibung getrübt. Die Narbe auf deiner Brust wird dich nichts davon vergessen lassen.",El recuerdo está siempre ahí. Cualquier éxito que hayas alcanzado desde que dejaste la sociedad savvas sigue manchado por la humillación y el exilio. La cicatriz de tu pecho se asegurará de que nunca lo olvides.,"Zawsze będzie ci przypominać. Minęło już sporo czasu od opuszczenia społeczności Sawasów, lecz niezależnie od odniesionych sukcesów, są one naznaczone piętnem poniżenia i wygnania. Wyrwa w piersi nigdy nie pozwoli ci zapomnieć."
Quest_SOLO_Cragheart_StoneDefense_INTRO_GH_2,"And yet, you constantly fight to erase your past failures. Perhaps if you prove your power enough times, the scar will hurt less.","Et pourtant, vous continuez de lutter pour tenter d'effacer vos échecs passés. Peut-être que si vous prouvez votre puissance encore et encore, la cicatrice finira par moins vous faire souffrir.","Und doch kämpfst du stets darum, dein Scheitern ungeschehen zu machen. Vielleicht wird die Narbe weniger schmerzen, wenn du deine Macht oft genug beweist.","Y, aun así, luchas constantemente por borrar tus fracasos del pasado. Tal vez si demuestras tu poder las ocasiones suficientes, la cicatriz duela menos.","Jednak ciągle walczysz, chcąc wymazać swoje wcześniejsze niepowodzenia. Może jeśli wielokrotnie udowodnisz swoją wartość, to blizna przestanie być tak bolesna."
Quest_SOLO_Cragheart_StoneDefense_INTRO_GH_3,"During one of your long, solemn walks north of Gloomhaven, you feel a faint rumbling in the earth and the pull of some force beneath the ground.","Au cours d'une de vos longues et silencieuses promenades au nord de Havrenuit, vous ressentez un léger tremblement de terre et le magnétisme d'une puissante force souterraine.","Bei einer deiner langen, ernsten Wanderungen nördlich von Gloomhaven spürst du ein schwaches Beben der Erde und den Sog einer Macht unter dir.","Durante uno de tus largos y solemnes paseos por la zona norte de Gloomhaven, sientes un leve temblor en la tierra y una fuerza ejerciendo atracción bajo el suelo.","Podczas jednej z twoich długich wypraw na północ od Gloomhaven, czujesz słabe dudnienie z wnętrza ziemi i przyciąganie jakiejś siły."
Quest_SOLO_Cragheart_StoneDefense_INTRO_GH_4,"You know deep in your shattered chest that the earth is calling to you, pleading for aid.","Vous sentez bien, au creux de votre torse brisé, que la terre vous appelle, implorant votre aide.","Tief in deiner geschundenen Brust weißt du, dass die Erde dich um Hilfe anfleht.","En lo más profundo de tu destrozado pecho sabes que la tierra te está llamando, implorándote ayuda.","W głębi swego strzaskanego serca wiesz, że to wzywa cię ziemia, błagając o pomoc."
Quest_SOLO_Cragheart_StoneDefense_INTRO_TRAVEL_1,"You head farther north into the Copperneck Mountains and deep into the mouth of an ominous cave, where you find a crystalline rock hidden in the back of a large cavern.","Poussant plus au nord, jusqu'aux Crêtes de Cuivre, vous vous enfoncez dans les profondeurs d'un sinistre réseau de grottes où vous découvrez, cachée au fond d'une salle, une roche cristalline.","Du ziehst weiter nach Norden zu den Kupfernackenbergen, tief in eine bedrohliche Höhle. Dort findest du einen kristallinen Stein im hinteren Teil einer großen Kaverne.","Te diriges más al norte, en dirección a las Montañas Cobrizas, y te adentras en la boca de una inquietante cueva, donde encuentras una roca cristalina escondida al final de una gran caverna.","Kierujesz się dalej, na północ, w Góry Miedzianych Turni, do tajemniczej jaskini, gdzie znajdujesz krystaliczną skałę ukrytą w głębi groty."
Quest_SOLO_Cragheart_StoneDefense_INTRO,"The rock begins to vibrate and fill your ears with an eerie voice. “I feel the approach of danger—creatures which seek control over the earth and wish to use my essence for evil.""

""I am the earth made sentient, and this is the heart of my power. I require a guardian to protect me from the threats that come. Are you up to this task?""

You touch the scar once again and nod silently, prepared to face the coming onslaught.","Le rocher se met à vibrer et emplit vos oreilles d'une voix inquiétante. « Je sens un danger imminent. Des créatures désirent prendre le contrôle de la terre afin d'utiliser mon essence dans un but malfaisant. »
 
 « Je suis la terre éveillée, et ce lieu est le cœur de mon pouvoir. J'ai besoin d'un gardien qui me protégera des menaces imminentes. Te sens-tu à la hauteur de cette tâche ? »
 
 Touchant machinalement votre cicatrice, vous hochez la tête en silence, prêt à affronter le danger.","Der Stein beginnt zu vibrieren. Eine geisterhafte Stimme ertönt: ""Ich spüre eine Gefahr nahen - Kreaturen, die nach Kontrolle über die Erde trachten und meine Essenz zum Bösen nutzen wollen.
 
 Ich bin die erwachte Erde, und dies ist das Herz meiner Macht. Ich brauche einen Hüter, der mich vor der drohenden Gefahr schützt. Bist du dieser Aufgabe gewachsen?""
 
 Du berührst erneut die Narbe und nickst, bereit für den nahenden Ansturm.","La roca comienza a vibrar y una misteriosa voz llena tus oídos.
 
 —Siento cómo el peligro se acerca. Unas criaturas anhelan controlar la tierra y desean usar mi esencia con fines perversos. Soy la tierra que ha cobrado consciencia, y este es el corazón de mi poder. Necesito un guardián que me proteja de las amenazas que se ciernen. ¿Estás preparado para un cometido así?
 
 Te tocas la cicatriz una vez más y asientes en silencio, preparado para hacer frente a la batalla que se avecina.","Kamień zaczyna wibrować i wypełnia twoje uszy strasznym głosem. „Czuję nadziągające niebezpieczeństwo - stworzenia, które chcą zawładnąć ziemią i użyć mojej esencji do czynienia zła.“

„Jam jest czującą ziemią, a to jest serce mojej mocy. Potrzebuję strażnika który ochroni mnie przed nadchodzącymi zagrożeniami. Czy jesteś na to gotów?“

Dotykasz blizny raz jeszcze i kiwasz głową w milczeniu, gotów stawić czoła nadchodzącej nawałnicy."
Scenario_SOLO_Cragheart_StoneDefense_Success_1,"Your hands are covered in blood and grime, but the deed is done. The horde of monsters lies dead before you. You did not fail this day.","Vos mains sont couvertes de sang et de crasse, mais le travail est fait. Les monstres gisent à vos pieds, morts jusqu'au dernier. Aujourd'hui, vous n'avez pas échoué.","Deine Hände sind mit Blut und Schmutz befleckt, doch es ist vollbracht. Die Monsterhorde liegt tot zu deinen Füßen. Heute bist du nicht gescheitert.","Tus manos están cubiertas de sangre y barro; pero lo hecho, hecho está. La horda de monstruos yace muerta ante ti. Hoy no has fracasado.","Twoje ręce są pokryte krwią i brudem, ale dopiąłeś swego. Przed tobą leży horda martwych potworów. Tego dnia nie zawiodłeś."
Scenario_SOLO_Cragheart_StoneDefense_Success_2,"As you walk to the back of the cave, the rock vibrates once again. ""You are a true guardian of the earth, and I owe you my continued existence.""","Alors que vous allez au fond de la caverne, la roche se remet à vibrer. « Tu es un véritable gardien de la terre et, si j'existe encore à cet instant, c'est à toi que je le dois. »","Als du in das hintere Ende der Höhle gehst, vibriert der Stein erneut. ""Du bist ein wahrer Hüter der Erde. Ich verdanke dir mein Fortbestehen.""","Mientras caminas hacia la parte trasera de la caverna, la roca vibra de nuevo.
 
 —Eres un verdadero guardián de la tierra, y te debo mi pervivencia.","Kiedy przechodzisz na tył jaskini, skała wibruje jeszcze raz. „Jesteś prawdziwym strażnikiem ziemi i zawdzięczam ci moje dalsze istnienie.“"
Scenario_SOLO_Cragheart_StoneDefense_Success_3,"""I bestow upon you this charm. It will enhance your control over stone and will allow me to call upon you should I ever be in need again.""",« Aussi ai-je décidé de t'offrir ce charme. Il améliorera ton contrôle sur la pierre et me permettra de t'appeler si jamais le besoin s'en fait de nouveau sentir. »,"Ich gebe dieses Amulett in deine Obhut. Es verbessert deine Kontrolle über Stein und ermöglicht mir, dich zu rufen, sollte ich wieder deine Hilfe benötigen.""","Te otorgo este amuleto. Con él, mejorará tu control sobre la piedra y podré llamarte si en alguna ocasión te vuelvo a necesitar.","„Przekazuję ci więc ten talizman. Wzmocni twoją kontrolę nad skałami, a także pozwoli mi wezwać cię, jeśli znowu będę w potrzebie.“"
Quest_SOLO_Mindthief_RodentLiberation_NAME,Rodent Liberation,La Libération des Rongeurs,Nagerbefreiung,Liberación de roedores,Wyzwolenie gryzoni
Quest_SOLO_Mindthief_RodentLiberation_DESC,The Mindthief must help their kin,La Perce-Esprit doit aider les siens,Die Gedankendiebin muss ihren Leuten helfen,La Ladrona mental debe ayudar a la camada.,Myślołapka musi pomóc swym krewniakom
Quest_SOLO_Mindthief_RodentLiberation_List,The Mindthief's Solo Quest,Quête solo de la Perce-Esprit,Soloquest der Gedankendiebin,Misión en solitario de la Ladrona mental,Solowa misja Myślołapki
Quest_SOLO_Mindthief_RodentLiberation_INTRO_GH_1,"""Help...us..."" You wake up from a nightmare in a cold sweat. Somewhere deep beneath the city, your rat allies are in pain, and they need your aid.","« À... l'aide... » Vous vous réveillez brusquement, trempée de sueur, alors que vous étiez en plein cauchemar. Quelque part au fond de la ville, vos alliés rats sont en difficulté et implorent votre aide.","""Hilf ... uns ..."" Du erwachst schweißgebadet aus einem Albtraum. Irgendwo unter der Stadt leiden deine Rattenverbündeten Schmerzen und brauchen deine Hilfe.","—Ayúdanos…
 
 Te despiertas de una pesadilla empapada en sudor frío. En algún lugar recóndito de la ciudad, tus aliadas las ratas se encuentran en apuros y necesitan tu ayuda.",„Pomóż nam...“ Budzisz się z koszmaru zlana zimnym potem. Gdzieś głęboko pod miastem twoi szczurzy przyjaciele cierpią i potrzebują pomocy.
Quest_SOLO_Mindthief_RodentLiberation_INTRO,"You grab your gear and race through the dark tunnels of the sewer, heeding the swarm’s psychic call. They have been imprisoned by some malicious force, and their will is being used in a dark ritual. You must set them free.

The calls are getting close when you run into an open chamber and encounter a group of your brethren—sickly looking Vermling Scouts holding an oddly defensive position to protect the door behind them. You ask what they are doing here, and their words are also defensive. Well, you have no qualms about slaying them to aid your friends.","Saisissant votre équipement, vous courez dans les tunnels sombres des égouts, guidée par l'appel des rongeurs. Vous sentez que ces derniers ont été emprisonnés par une force malveillante, et que leur volonté est utilisée pour un rituel maléfique. Vous devez absolument les libérer.
 
 Les appels se font plus distincts lorsque vous entrez dans une chambre et découvrez un groupe de vos congénères. Mal en point, ces éclaireurs Vermlings semblent s'être retranchés afin de protéger une porte derrière eux. Étonnant de leur part, mais s'il vous faut les tuer pour aider vos amis, cela ne vous pose pas le moindre problème.","Du schnappst dir deine Ausrüstung und eilst durch die dunkle Kanalisation, dem Astralruf der Schar folgend. Eine bösartige Kraft hält sie gefangen und missbraucht ihren Willen für ein finsteres Ritual. Du musst sie befreien.
 
 Die Rufe werden lauter, als du in eine offene Kammer einbiegst und auf eine Gruppe von Artgenossen triffst - kränklich, seltsam defensiv wirkende Ratzen-Späher, welche offenbar die Tür hinter ihnen bewachen. Du fragst, was sie hier tun, und auch ihre Worte sind defensiv. Nun, du hast keine Skrupel, sie niederzustrecken, um deinen Freunden zu helfen.","Coges tu equipamiento y corres por los oscuros túneles de las alcantarillas siguiendo la llamada psíquica de las ratas. Alguna fuerza maliciosa las ha encerrado y las está utilizando para algún tipo de oscuro ritual. Debes liberarlas.
 
 Cuando te acercas al origen de la llamada, te topas con una cámara abierta y un grupo de tus hermanos, varios exploradores infestores de aspecto enfermizo, que se encuentran en una extraña posición defensiva protegiendo una puerta tras ellos. Les preguntas qué hacen ahí y su respuesta también es defensiva. Bueno, si es para ayudar a tus aliadas, no tendrás ningún remordimiento por acabar con ellos.","Zbierasz swoje rzeczy i biegniesz ciemnymi kanałami słysząc w głowie wołanie swojego stada. Zostali uwięzieni przez jakąś złowrogą siłę, a ich energia używana jest w mrocznym rytuale. Musisz ich uwolnić.

Z każdym krokiem wołanie staje się głośniejsze. W końcu wpadasz do otwartej komnaty i widzisz grupę twoich braci - cherlawych szczurokowych zwiadowców, którzy zajęli dziwną, asekuracyjną pozycję i pilnują znajdujących się za nimi drzwi. Pytasz, co tu robią, ale ich słowa są również asekruacyjne. Cóż, nie masz żadnych skrupułów, żeby ich zabić, aby pomóc przyjaciołom."
Scenario_SOLO_Mindthief_RodentLiberation_Room_2_1,"You hurry through the door, and a wave of noxious fumes hits you with full force. Your mind reels as you realize some foul magic is afoot. You must stop it","Vous franchissez la porte sans attendre, et une vague de vapeurs nocives agresse vos sens. Vous avez la tête qui tourne, et vous comprenez immédiatement pourquoi : une immonde magie est à l'œuvre. Vous devez y mettre un terme.","Du eilst durch die Tür, und eine Wolke giftiger Dämpfe überwältigt dich. Dein Geist erzittert, als dir klar wird, dass hier faule Magie im Spiel ist. Du musst sie vernichten.",Entras corriendo por la puerta y una oleada de gases nocivos te sacude con todas sus fuerzas. Tu mente se tambalea cuando te percatas de que se ha desatado algún tipo de magia nauseabunda. Debes detenerla.,"Pospiesznie przechodzisz przez drzwi, a w twoje nozdrza z całą siłą uderza fala toksycznych oparów. Kręci ci się w głowie, gdy zdajesz sobie sprawę, że działa tutaj jakaś plugawa magia. Musisz to powstrzymać."
Scenario_SOLO_Mindthief_RodentLiberation_Room_3_1,"Coughing and retching, you push into a suspicious alcove. Where you find three more Vermlings deep in meditation... giving you just enough time to recover from the fumes before they notice you and aproach with menace.","Prise de haut-le-cœur et d'une violente quinte de toux, vous entrez dans une alcôve peu accueillante où vous surprenez trois autres Vermlings en pleine méditation. Vous avez à peine le temps de vous remettre de l'effet des émanations avant qu'ils prennent conscience de votre présence et s'approchent de vous d'un air menaçant.","Hustend und würgend dringst du in eine verdächtige Nische ein, wo du drei weitere Ratzen in tiefer Meditation vorfindest. Dir bleibt gerade genug Zeit, dich von den Dämpfen zu erholen, da erwachen sie und nähern sich dir bedrohlich.","Entre toses y arcadas, entras en un rincón sospechoso y encuentras a 3 infestores más en un profundo estado de meditación, lo que te da el tiempo suficiente para recuperarte de los gases antes de que se despierten y se aproximen a ti de forma amenazante.","Kaszląc i wymiotując wpadasz do podejrzanie wyglądającej alkowy, w której zauważasz trzy kolejne Szczuroki w stanie głębokiej medytacji. Masz jedynie chwilę, by dojść siebie, nim budzą się i groźnie ruszają w twoją stronę."
Scenario_SOLO_Mindthief_RodentLiberation_Misc_1,"As the last Vermling falls, a brown smoke begins to rise from a grating in the center of the room. With horror, you realize you've given the ritual exactly what was required... a blood sacrifice.","Lorsque le dernier Vermling s'écroule, une fumée brune commence à s'élever d'une grille située au centre de la pièce, et vous réalisez, horrifiée, que vous venez juste d'offrir au rituel ce qu'il lui manquait pour être finalisé : un sacrifice de sang.","Als die letzte Ratze fällt, steigt brauner Rauch aus einem Bodengitter in der Mitte des Raums empor. Mit Grauen erkennst du, dass du dem Ritual genau das geliefert hast, was gebraucht wurde: ein Blutopfer.","Cuando el último de los infestores cae, un humo marrón empieza a salir de una rejilla en el centro de la sala. Horrorizada, te das cuenta de que acabas de hacer justo lo que requería el ritual: un sacrificio de sangre","Kiedy ostatni Szczurok pada, spod kraty w centrum pomieszczenia zaczyna się wydobywać brązowy dym. Z przerażeniem uświadamiasz sobie, że dałaś im dokładnie to, co było im potrzebne - ofiarę z krwi."
Scenario_SOLO_Mindthief_RodentLiberation_Misc_2,"Before your eyes, a massive Earth Demon materializes from the smoke. It is the last thing standing in the way of you freeing your friends.","Devant vos yeux effarés, un énorme Démon de Terre se matérialise au cœur de la fumée. C'est le dernier obstacle à la libération de vos amis.","Vor deinen Augen nimmt der Rauch die Gestalt eines gewaltigen Erddämons an. Er ist alles, was zwischen dir und der Freiheit deiner Freunde steht.","Ante tus ojos, un enorme demonio de tierra se materializa a partir del humo. Es lo último que se interpone en tu misión de liberar a tus amigas.","Na twoich oczach z dymu materializuje się ogromny Demon Ziemi. To ostatnia istota, która stoi ci na drodze do twoich przyjaciół."
Scenario_SOLO_Mindthief_RodentLiberation_Success_1,"With the dark ritual finally put to rest, you feel a sense of relief from the rats wash over you. They begin to crawl out of various hiding places and swarm you in celebration.","Une fois le sombre rituel interrompu, vous éprouvez un intense soulagement en provenance des rats. Fous de joie, ils sortent des divers recoins où ils s'étaient cachés et se massent autour de vous pour vous témoigner leur reconnaissance.","Nun, da das finstere Ritual endlich beendet ist, durchströmt dich die von den Ratten ausgestrahlte Erleichterung. Sie kriechen aus ihren Verstecken und umschwärmen dich freudig.","Interrumpido el oscuro ritual, la sensación de alivio proveniente de las ratas te invade. Tus aliadas comienzan a salir de varios escondites y te rodean al tiempo que lo celebran.","Mroczny rytuał ostatecznie zostaje powtrzymany, a ty czujesz wszechogarniającą ulgę. Szczury zaczynają wyłazić z różnych kryjówek i kłębią się przy tobie z radości."
Scenario_SOLO_Mindthief_RodentLiberation_Success_2,"You feel your bond with them grow stronger, and the blade you wield surges with power.","Vous sentez votre lien avec eux se renforcer, et le pouvoir inonde la lame que vous brandissez.","Du spürst, wie das Band zwischen euch gefestigt wird, und die Klinge, die du führst, pulsiert vor Macht.",Sientes que tu vínculo con ellas se hace más fuerte y cómo aumenta el poder de la espada que manejas.,"Czujesz, że twoja więź z nimi staje się coraz silniejsza, a ostrze, którym władasz, przepełnia moc."
Quest_SOLO_Sunkeeper_CaravanEscort_NAME,Caravan Escort,Escorte de convoi,Karawaneneskorte,Escolta de caravana,Ochrona karawany
Quest_SOLO_Sunkeeper_CaravanEscort_DESC,The Sunkeeper decides to help those in need,La Gardienne du Soleil a décidé d'aider les malheureux dans le besoin,"Die Sonnenhüterin beschließt, den Bedürftigen zu helfen",La Guardiana del Sol decide ayudar a los desfavorecidos.,Strażniczka Słońca postanawia pomóc potrzebującym
Quest_SOLO_Sunkeeper_CaravanEscort_List,The Sunkeeper's Solo Quest,Quête solo de la Gardienne du Soleil,Soloquest der Sonnenhüterin,Misión en solitario de la Guardiana del Sol,Solowa misja Strażniczki Słońca
Quest_SOLO_Sunkeeper_CaravanEscort_INTRO_GH_1,"It has been an uneventful few days in Gloomhaven, but you are always looking for ways to help those in need.","Cela fait quelques jours qu'il ne s'est rien passé à Havrenuit, mais vous cherchez toujours un moyen d'aider les gens dans le besoin.","Eintönige Tage in Gloomhaven liegen hinter dir, doch du suchst immer nach Wegen, den Bedürftigen zu helfen.","Hace días que no hay incidentes en Gloomhaven, pero no dejas de buscar la forma de ayudar a quienes más lo necesitan.","W Gloomhaven od kilku dni nic się nie dzieje, ale ty zawsze szukasz sposobu, by pomóc potrzebującym."
Quest_SOLO_Sunkeeper_CaravanEscort_INTRO_GH_2,"You hear from a source that a very valuable shipment of Orchid goods heading for the Capital is looking for guards, so you go to the Boiler District to offer your services.",Une de vos sources vous apprend qu'une cargaison de marchandises Orchids très précieuses est en cours d'acheminement vers la capitale et que ses organisateurs recherchent des gardes. Vous vous rendez donc au Quartier du Chaudron pour proposer vos services.,"Du erfährst, dass für eine wertvolle Lieferung Antriden-Güter an die Hauptstadt eine Eskorte gesucht wird. Also gehst du ins Kesselviertel, um deine Dienste anzubieten.","Una fuente te informa de que un cargamento muy valioso de bienes orquídeos que se dirige a la Capital está buscando guardias, así que vas al Distrito de la Caldera a ofrecer tus servicios.","Dotarły do ciebie pogłoski, że w stronę stolicy wyrusza ładunek cennych orchidzkich towarów i karawana potrzebuje strażników. Ruszasz więc do Dziennicy Kotlarzy, by zaoferować swe usługi."
Quest_SOLO_Sunkeeper_CaravanEscort_INTRO_GH_3,"""We’ve been getting numerous reports from merchants coming in that the East Road is swimming with bandits"", the caravan leader says when you inquire about the job. ""We will happily accept your help, no matter the fee you require.""","« Nous avons reçu de nombreux rapports en provenance de marchands qui nous indiquent que la Route de l'Est grouille de bandits, vous explique le chef du convoi lorsque vous vous renseignez sur les modalités du travail. Votre aide serait plus que bienvenue, quel que soit le montant que vous demandez. »","""Wir haben zahlreiche Meldungen von Händlern erhalten, dass es auf der Oststraße von Banditen nur so wimmelt"", sagt der Karawanenführer, als du nach dem Auftrag fragst. ""Wir würden gerne deine Hilfe in Anspruch nehmen. Der Preis spielt keine Rolle.""",—Varios comerciantes nos han informado de que el Camino del Este está plagado de bandidos —dice el líder de la caravana cuando preguntas por el trabajo—. Estaremos encantados de aceptar tu ayuda sin importar lo que cueste.,"„Kupcy przybywający do miasta donoszą, że na Wschodnim Trakcie jest wręcz zatrzęsienie bandytów.“ - mówi lider karawany, kiedy pytasz o pracę. „Z radością przyjmiemy twoją pomoc, bez względu na koszta.“"
Quest_SOLO_Sunkeeper_CaravanEscort_INTRO_GH_4,"You humbly decline to be paid, and the man’s eyes go wide. All you want to do is prove your prowess and destroy the evil-doers of the world.","L'homme écarquille les yeux de surprise lorsque vous lui répondez que vous ne voulez aucun paiement. Tout ce qui vous intéresse, c'est de faire vos preuves et d'éradiquer les malfaisants de ce monde.","Bescheiden lehnst du es ab, entlohnt zu werden, und die Augen des Mannes weiten sich. Du willst lediglich deine Fähigkeiten beweisen und die Übeltäter aus dieser Welt tilgen.",Rechazas el pago humildemente y el hombre abre los ojos con asombro. Lo único que quieres es demostrar tu destreza y acabar con todos los malhechores del mundo.,"Z pokorą odmawiasz zapłaty, a oczy mężczyzny rozszerzają się. Chcesz jedynie udowodnić swą sprawność w walce i zniszczyć zło panoszące się po świecie."
Quest_SOLO_Sunkeeper_CaravanEscort_INTRO,"You prepare for the journey—not all the way to the Capital, but far enough to get the caravan clear of the Dagger Forest—and then head out of the West Gate. The first day is uneventful, but on the morning of the following day, you awake to yelling.

""Bandits are attacking! Defensive positions!""","Vous vous préparez pour le voyage... pas jusqu'à la capitale, mais assez loin pour accompagner le convoi hors de la Forêt des Dagues. Puis, vous sortez de la cité par la porte ouest pour aller rejoindre le convoi. Le premier jour du voyage, il ne se passe rien, mais le lendemain matin, des cris d'alarme vous réveillent.
 
 « Les bandits nous attaquent ! En position défensive ! »","Du bereitest dich auf die Reise vor - nicht bis zur Hauptstadt, aber weit genug, um die Karawane sicher durch den Dolchwald zu bringen - und verlässt Gloomhaven durch das Westtor. Der erste Tag verläuft ereignislos, doch am nächsten Morgen wirst du von Schreien geweckt.
 
 ""Banditen greifen an! Verteidigungspositionen!""","Te preparas para el viaje y sales por la Puerta Oeste. No hará falta que escoltes a la caravana todo el camino hasta la Capital, tan solo hasta que cruce el Bosque de las Dagas. El primer día transcurre sin incidentes, pero, a la mañana del día siguiente, unos gritos te despiertan.
 
 —¡Nos atacan los bandidos! ¡Posición defensiva!","Przygotowujesz się do podróży - nie aż do stolicy, ale na tyle daleko, by przeprowadzić karawanę przez Las Sztyletów - po czym wyruszasz przez Zachodnią Bramę. Pierwszy dzień mija spokojnie, ale rankiem następnego dnia budzą cię krzyki.

„Bandyci atakują! Zająć pozycje obronne!“"
